date,my_HML,my_SMB,FF_HML,FF_SMB
2024-12-31,-2.966266152406517,-2.5336943290591725,-2.95,   -2.73
2024-11-30,-0.4598087886425503,5.112687959336211,-0.05,    4.63
2024-10-31,0.7955042057282279,-0.844656834455474,0.89,   -1.01
2024-09-30,-2.7959418281853026,-0.26524045945794184,-2.59,   -0.17
2024-08-31,-0.7786899136688933,-3.7483318724159895,-1.13,   -3.55
2024-07-31,5.827305811180699,6.858465378932991,5.74,    6.80
2024-06-30,-3.6164230755177913,-3.096061374805447,-3.31,   -3.06
2024-05-31,-1.466037281076276,0.9265608189304941,-1.67,    0.78
2024-04-30,-0.7102842710474538,-2.199049120130097,-0.52,   -2.39
2024-03-31,4.542210659103628,-2.3900474345691336,4.22,   -2.51
2024-02-29,-3.271770141352201,-0.3099189925479945,-3.52,   -0.22
2024-01-31,-2.5749764338198067,-4.919408800248921,-2.47,   -5.02
2023-12-31,5.108374347418492,6.201683964633584,4.92,    6.36
2023-11-30,1.7444833260068764,-0.47526601944635344,1.66,   -0.03
2023-10-31,-0.18842424573287733,-4.0846836379299525,0.19,   -3.88
2023-09-30,1.1009570797518937,-2.602104599425619,1.45,   -2.49
2023-08-31,-1.3715098975487263,-3.2142760312879255,-1.08,   -3.20
2023-07-31,4.878660563490108,2.2423503159237157,4.11,    2.05
2023-06-30,-0.6082907334197224,1.5578383014871868,-0.2,    1.55
2023-05-31,-7.706922490212381,2.027954815614412,-7.74,    1.60
2023-04-30,0.12263050035711508,-3.385976225675373,-0.05,   -3.36
2023-03-31,-8.5386109164634,-5.387517962439199,-8.87,   -5.51
2023-02-28,-1.0235579769474021,0.8180364064397125,-0.83,    1.17
2023-01-31,-3.8192186550152067,5.28201091745929,-4.0,    5.01
2022-12-31,1.261453959766716,-0.9700013068016835,1.34,   -0.69
2022-11-30,1.5948904947577034,-3.812539264234576,1.41,   -3.51
2022-10-31,8.122896848038318,-0.47247844587063603,8.06,    0.07
2022-09-30,-0.14469975537655805,-0.8448722366346639,0.02,   -0.82
2022-08-31,0.17993091092145322,1.3798379004129036,0.29,    1.40
2022-07-31,-4.310352606663869,2.735816412793604,-4.03,    2.80
2022-06-30,-5.65942681798629,1.9985053435495905,-6.1,    2.18
2022-05-31,7.946054129149472,-1.6698671935020202,8.59,   -1.96
2022-04-30,5.723070732328204,-1.450682237905819,6.17,   -1.38
2022-03-31,-2.2328336309166423,-1.5505961692772507,-1.76,   -1.66
2022-02-28,3.1895369889036593,2.2259795096703168,3.1,    2.19
2022-01-31,12.583547698060308,-5.882917247167912,12.8,   -5.96
2021-12-31,3.2747076575826832,-1.8293920401000703,3.22,   -1.64
2021-11-30,-0.7020205891771908,-1.2674786242385458,-0.41,   -1.32
2021-10-31,-0.45725579755514567,-2.2241632328910903,-0.45,   -2.37
2021-09-30,4.744095293575687,0.6614491897262851,5.1,    0.67
2021-08-31,0.012083104042579992,-0.30920432706436246,-0.1,   -0.46
2021-07-31,-1.5284269322799753,-3.8580629432976,-1.81,   -3.94
2021-06-30,-7.735650385588322,1.6968892578885162,-7.75,    1.60
2021-05-31,7.097259435980499,-0.24627438714873995,7.13,   -0.27
2021-04-30,-0.692474452093629,-3.104110737200417,-0.95,   -3.20
2021-03-31,7.196173850334977,-2.425426477244938,7.27,   -2.28
2021-02-28,7.330172239327702,2.1437724427170153,7.1,    2.07
2021-01-31,2.846730114012272,7.595806370098339,2.85,    7.50
